item_id,name,slug,kind,family,public_url,state,promotion_identity,notes
monitor:dns-change,DNS Change Monitor,dns-change,monitor capability,Your Internet,https://claritybelongs.com/products/dns-change,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:nameserver-change,Nameserver Change Monitor,nameserver-change,monitor capability,Your Internet,https://claritybelongs.com/products/nameserver-change,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:http-status,HTTP Status Monitor,http-status,monitor capability,Your Internet,https://claritybelongs.com/products/http-status,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:redirect-chain,Redirect Destination Monitor,redirect-chain,monitor capability,Your Internet,https://claritybelongs.com/products/redirect-chain,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:broken-link,Broken Link Monitor,broken-link,monitor capability,Your Internet,https://claritybelongs.com/products/broken-link,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:sitemap-change,Sitemap Change Monitor,sitemap-change,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:robots-change,Robots.txt Change Monitor,robots-change,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:mx-record,MX Record Monitor,mx-record,monitor capability,Your Internet,https://claritybelongs.com/products/mx-record,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:spf-record,SPF Record Monitor,spf-record,monitor capability,Your Internet,https://claritybelongs.com/products/spf-record,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:dkim-record,DKIM Record Monitor,dkim-record,monitor capability,Your Internet,https://claritybelongs.com/products/dkim-record,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:dmarc-record,DMARC Record Monitor,dmarc-record,monitor capability,Your Internet,https://claritybelongs.com/products/dmarc-record,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:ip-blacklist,IP Blacklist Report Monitor,ip-blacklist,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:website-malware-reputation,Website Malware Reputation Monitor,website-malware-reputation,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:page-speed-regression,Page Speed Report Monitor,page-speed-regression,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:core-web-vitals,Core Web Vitals Report Monitor,core-web-vitals,monitor capability,Your Internet,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:website-change,Website Change Monitor,website-change,monitor capability,Changes,https://claritybelongs.com/products/website-change,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:website-keyword-source,Website Keyword Source Monitor,website-keyword-source,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:competitor-pricing,Competitor Pricing Monitor,competitor-pricing,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:competitor-homepage,Competitor Homepage Monitor,competitor-homepage,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:terms-change,Terms of Service Change Monitor,terms-change,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:privacy-policy-change,Privacy Policy Change Monitor,privacy-policy-change,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:app-store-rating,App Store Rating Page Monitor,app-store-rating,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:app-store-release,App Store Release Monitor,app-store-release,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:software-release,Software Release Monitor,software-release,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:github-release,GitHub Repository Release Monitor,github-release,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:package-release,Package Dependency Release Monitor,package-release,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:public-status-page,Public Status Page Monitor,public-status-page,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:service-outage,Service Outage Monitor,service-outage,monitor capability,Changes,https://claritybelongs.com/products/service-outage,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:cancellation-change,Cancellation & Change Monitor,cancellation-change,monitor capability,Changes,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:job-posting,Job Posting Monitor,job-posting,monitor capability,Opportunities,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:grant-opportunity,Grant Opportunity Monitor,grant-opportunity,monitor capability,Opportunities,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:government-bid,Government Bid Monitor,government-bid,monitor capability,Opportunities,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:new-listing,New Listing & Availability Monitor,new-listing,monitor capability,Opportunities,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:deadline-change,Deadline Monitor,deadline-change,monitor capability,Opportunities,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:public-meeting-agenda,Public Meeting Agenda Monitor,public-meeting-agenda,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:regulatory-filing,Regulatory Filing Monitor,regulatory-filing,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:policy-public-record,Policy & Public Record Change Monitor,policy-public-record,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:recall-alert,Recall Alert Monitor,recall-alert,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:local-government-project,Local Government Project Monitor,local-government-project,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:school-community-notice,School & Community Notice Monitor,school-community-notice,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:consumer-notice,Consumer Notice Monitor,consumer-notice,monitor capability,Public Information,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:brand-mention-source,Brand Mention Source Monitor,brand-mention-source,monitor capability,Your Identity,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:username-impersonation,Username Impersonation Watch,username-impersonation,monitor capability,Your Identity,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:domain-typosquat,Typo Domain Registration Monitor,domain-typosquat,monitor capability,Your Identity,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:certificate-transparency,Certificate Transparency Domain Monitor,certificate-transparency,monitor capability,Your Identity,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:reputation-change,Reputation Report Monitor,reputation-change,monitor capability,Your Identity,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:api-endpoint-uptime,API Endpoint Uptime Monitor,api-endpoint-uptime,monitor capability,Reliability,https://claritybelongs.com/products/api-endpoint-uptime,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:webhook-health,Webhook Health Endpoint Monitor,webhook-health,monitor capability,Reliability,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:cron-heartbeat,Cron Job Heartbeat Status Monitor,cron-heartbeat,monitor capability,Reliability,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:backup-heartbeat,Scheduled Backup Heartbeat Status Monitor,backup-heartbeat,monitor capability,Reliability,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:email-delivery-heartbeat,Email Delivery Heartbeat Status Monitor,email-delivery-heartbeat,monitor capability,Reliability,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:cloud-service-outage,Cloud Service Status Monitor,cloud-service-outage,monitor capability,Reliability,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
tool:note-file-organizer,Note File Organizer,note-file-organizer,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/note-file-organizer.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:markdown-index-builder,Markdown Index Builder,markdown-index-builder,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/markdown-index-builder.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:reading-folder-catalog,Reading Folder Catalog,reading-folder-catalog,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/reading-folder-catalog.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:duplicate-note-finder,Duplicate Note Finder,duplicate-note-finder,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/duplicate-note-finder.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:document-name-cleaner,Document Name Cleaner,document-name-cleaner,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/document-name-cleaner.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:research-folder-inventory,Research Folder Inventory,research-folder-inventory,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/research-folder-inventory.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:markdown-link-checker,Markdown Link Checker,markdown-link-checker,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/markdown-link-checker.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:text-file-merger,Text File Merger,text-file-merger,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/text-file-merger.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:transcript-batch-cleaner,Transcript Batch Cleaner,transcript-batch-cleaner,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/transcript-batch-cleaner.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
tool:reference-file-sorter,Reference File Sorter,reference-file-sorter,local PowerShell tool,Free Local Tools,https://claritybelongs.com/downloads/scripts/reference-file-sorter.ps1,Released,separate utility,Public no-account local script; distribute separately from hosted monitoring service.
desktop:clarity-reader,Clarity Reader,clarity-reader,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:document-compare,Document Compare,document-compare,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:local-ocr,Local OCR,local-ocr,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:document-redactor,Document Redactor,document-redactor,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:document-privacy-check,Document Privacy Check,document-privacy-check,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:batch-document-processor,Batch Document Processor,batch-document-processor,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:transcript-cleaner,Transcript Cleaner,transcript-cleaner,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:local-document-search,Local Document Search,local-document-search,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:document-organizer,Document Organizer,document-organizer,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
desktop:clarity-desktop,Clarity Desktop,clarity-desktop,desktop roadmap product,Desktop,,Candidate / Idea,future,Defined in portfolio/desktop.md; no releasable implementation found.
content:learn,Clarity Learn,learn,content system,Learn,https://claritybelongs.com/learn,Released,yes,22 indexable guides mapped to approved public watch capabilities.
